n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Mean Fold Accuracy
100,None,2,1,sqrt,0.8104
100,None,2,1,log2,0.8086
100,None,2,2,sqrt,0.802
100,None,2,2,log2,0.8025
100,None,2,4,sqrt,0.7849
100,None,2,4,log2,0.7823
100,None,2,8,sqrt,0.7528
100,None,2,8,log2,0.7508
100,None,5,1,sqrt,0.8043
100,None,5,1,log2,0.8021
100,None,5,2,sqrt,0.8009
100,None,5,2,log2,0.7999
100,None,5,4,sqrt,0.7849
100,None,5,4,log2,0.7823
100,None,5,8,sqrt,0.7528
100,None,5,8,log2,0.7508
100,10,2,1,sqrt,0.6071
100,10,2,1,log2,0.6166
100,10,2,2,sqrt,0.6076
100,10,2,2,log2,0.6166
100,10,2,4,sqrt,0.601
100,10,2,4,log2,0.6093
100,10,2,8,sqrt,0.588
100,10,2,8,log2,0.5991
100,10,5,1,sqrt,0.6071
100,10,5,1,log2,0.6167
100,10,5,2,sqrt,0.6068
100,10,5,2,log2,0.6152
100,10,5,4,sqrt,0.601
100,10,5,4,log2,0.6093
100,10,5,8,sqrt,0.588
100,10,5,8,log2,0.5991
100,30,2,1,sqrt,0.8095
100,30,2,1,log2,0.8106
100,30,2,2,sqrt,0.8018
100,30,2,2,log2,0.8028
100,30,2,4,sqrt,0.7849
100,30,2,4,log2,0.7823
100,30,2,8,sqrt,0.7528
100,30,2,8,log2,0.7508
100,30,5,1,sqrt,0.8041
100,30,5,1,log2,0.8022
100,30,5,2,sqrt,0.8003
100,30,5,2,log2,0.7999
100,30,5,4,sqrt,0.7849
100,30,5,4,log2,0.7823
100,30,5,8,sqrt,0.7528
100,30,5,8,log2,0.7508
200,None,2,1,sqrt,0.8125
200,None,2,1,log2,0.8125
200,None,2,2,sqrt,0.8041
200,None,2,2,log2,0.8048
200,None,2,4,sqrt,0.7869
200,None,2,4,log2,0.7839
200,None,2,8,sqrt,0.7541
200,None,2,8,log2,0.7519
200,None,5,1,sqrt,0.8064
200,None,5,1,log2,0.8044
200,None,5,2,sqrt,0.802
200,None,5,2,log2,0.8019
200,None,5,4,sqrt,0.7869
200,None,5,4,log2,0.7839
200,None,5,8,sqrt,0.7541
200,None,5,8,log2,0.7519
200,10,2,1,sqrt,0.6129
200,10,2,1,log2,0.6232
200,10,2,2,sqrt,0.6098
200,10,2,2,log2,0.6221
200,10,2,4,sqrt,0.6054
200,10,2,4,log2,0.617
200,10,2,8,sqrt,0.5932
200,10,2,8,log2,0.6038
200,10,5,1,sqrt,0.6108
200,10,5,1,log2,0.6214
200,10,5,2,sqrt,0.6111
200,10,5,2,log2,0.6197
200,10,5,4,sqrt,0.6054
200,10,5,4,log2,0.617
200,10,5,8,sqrt,0.5932
200,10,5,8,log2,0.6038
200,30,2,1,sqrt,0.8131
200,30,2,1,log2,0.8124
200,30,2,2,sqrt,0.8037
200,30,2,2,log2,0.8051
200,30,2,4,sqrt,0.787
200,30,2,4,log2,0.784
200,30,2,8,sqrt,0.7541
200,30,2,8,log2,0.7519
200,30,5,1,sqrt,0.8072
200,30,5,1,log2,0.8049
200,30,5,2,sqrt,0.8019
200,30,5,2,log2,0.8016
200,30,5,4,sqrt,0.787
200,30,5,4,log2,0.784
200,30,5,8,sqrt,0.7541
200,30,5,8,log2,0.7519
